,,,,2020 Complete Raw Enchantment Permit Lottery Data,,,,,,,,
Permit Type,Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,10/3/2020,Core Enchantment Zone,10/10/2020,Snow Zone,10/17/2020,Colchuck Zone,Awarded,2,10/10/2020,Snow Zone,3
Overnight Permit,6/27/2020,Core Enchantment Zone,7/11/2020,Core Enchantment Zone,8/8/2020,Core Enchantment Zone,Awarded,1,6/27/2020,Core Enchantment Zone,2
Overnight Permit,7/24/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,7/31/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/10/2020,Core Enchantment Zone,7/18/2020,Core Enchantment Zone,8/8/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/8/2020,Core Enchantment Zone,8/9/2020,Core Enchantment Zone,8/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/20/2020,Core Enchantment Zone,7/19/2020,Core Enchantment Zone,7/21/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/30/2020,Core Enchantment Zone,8/13/2020,Core Enchantment Zone,7/30/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/20/2020,Core Enchantment Zone,8/10/2020,Eightmile/Caroline Zone,8/10/2020,Colchuck Zone,Awarded,2,8/10/2020,Eightmile/Caroline Zone,8
Overnight Permit,6/19/2020,Core Enchantment Zone,6/26/2020,Core Enchantment Zone,7/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/21/2020,Core Enchantment Zone,8/14/2020,Core Enchantment Zone,8/28/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/19/2020,Core Enchantment Zone,7/20/2020,Core Enchantment Zone,9/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/6/2020,Core Enchantment Zone,6/6/2020,Colchuck Zone,6/6/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,9/10/2020,Core Enchantment Zone,9/8/2020,Core Enchantment Zone,9/9/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/30/2020,Core Enchantment Zone,9/6/2020,Core Enchantment Zone,9/13/2020,Core Enchantment Zone,Awarded,1,8/30/2020,Core Enchantment Zone,2
Overnight Permit,5/16/2020,Core Enchantment Zone,10/24/2020,Core Enchantment Zone,5/23/2020,Core Enchantment Zone,Awarded,2,10/24/2020,Core Enchantment Zone,2
Overnight Permit,9/14/2020,Core Enchantment Zone,8/17/2020,Colchuck Zone,10/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,10/5/2020,Core Enchantment Zone,10/6/2020,Core Enchantment Zone,10/7/2020,Snow Zone,Awarded,3,10/7/2020,Snow Zone,2
Overnight Permit,8/20/2020,Core Enchantment Zone,9/16/2020,Core Enchantment Zone,9/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/23/2020,Core Enchantment Zone,8/16/2020,Core Enchantment Zone,7/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/25/2020,Core Enchantment Zone,7/25/2020,Snow Zone,7/25/2020,Eightmile/Caroline Zone (stock),Unsuccessful,,,,
Overnight Permit,9/17/2020,Core Enchantment Zone,9/24/2020,Core Enchantment Zone,9/30/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/17/2020,Core Enchantment Zone,8/19/2020,Core Enchantment Zone,8/25/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/16/2020,Core Enchantment Zone,8/5/2020,Colchuck Zone,,,Unsuccessful,,,,
Overnight Permit,8/13/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,8/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/3/2020,Core Enchantment Zone,8/3/2020,Snow Zone,8/3/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/27/2020,Core Enchantment Zone,9/3/2020,Core Enchantment Zone,8/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/9/2020,Core Enchantment Zone,8/12/2020,Core Enchantment Zone,8/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/16/2020,Core Enchantment Zone,7/23/2020,Core Enchantment Zone,7/16/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/14/2020,Core Enchantment Zone,8/17/2020,Colchuck Zone,8/17/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,9/13/2020,Core Enchantment Zone,9/6/2020,Core Enchantment Zone,9/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/1/2020,Core Enchantment Zone,9/5/2020,Core Enchantment Zone,9/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/28/2020,Core Enchantment Zone,9/10/2020,Core Enchantment Zone,9/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/10/2020,Core Enchantment Zone,8/17/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/5/2020,Core Enchantment Zone,8/6/2020,Core Enchantment Zone,8/4/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/17/2020,Core Enchantment Zone,8/18/2020,Core Enchantment Zone,8/19/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/3/2020,Core Enchantment Zone,7/31/2020,Core Enchantment Zone,9/4/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/26/2020,Core Enchantment Zone,7/3/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/5/2020,Core Enchantment Zone,8/6/2020,Core Enchantment Zone,8/7/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,,,,,Unsuccessful,,,,
Overnight Permit,8/16/2020,Core Enchantment Zone,8/23/2020,Core Enchantment Zone,,,Unsuccessful,,,,
Overnight Permit,8/11/2020,Core Enchantment Zone,8/12/2020,Core Enchantment Zone,8/13/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/18/2020,Core Enchantment Zone,7/25/2020,Core Enchantment Zone,8/8/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,8/14/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/20/2020,Core Enchantment Zone,8/27/2020,Colchuck Zone,8/27/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/4/2020,Core Enchantment Zone,9/4/2020,Eightmile/Caroline Zone,,,Unsuccessful,,,,
Overnight Permit,8/16/2020,Core Enchantment Zone,8/17/2020,Core Enchantment Zone,,,Unsuccessful,,,,
,,,,,443,,,,,,
Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,7/21/2020,Core Enchantment Zone,8/11/2020,Core Enchantment Zone,,8/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,10/1/2020,Core Enchantment Zone,9/11/2020,Core Enchantment Zone,,9/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/14/2020,Core Enchantment Zone,7/17/2020,Colchuck Zone,,8/28/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/26/2020,Core Enchantment Zone,7/3/2020,Core Enchantment Zone,,8/7/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/11/2020,Core Enchantment Zone,8/11/2020,Colchuck Zone,,8/12/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/5/2020,Core Enchantment Zone,8/11/2020,Core Enchantment Zone,,8/17/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/19/2020,Core Enchantment Zone,8/8/2020,Colchuck Zone,,8/29/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/22/2020,Core Enchantment Zone,7/7/2020,Core Enchantment Zone,,9/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/17/2020,Core Enchantment Zone,8/21/2020,Core Enchantment Zone,,9/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/3/2020,Core Enchantment Zone,7/3/2020,Colchuck Zone,,9/5/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/13/2020,Core Enchantment Zone,7/25/2020,Core Enchantment Zone,,8/15/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/8/2020,Core Enchantment Zone,9/13/2020,Core Enchantment Zone,,9/11/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/26/2020,Core Enchantment Zone,8/23/2020,Core Enchantment Zone,,8/30/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/5/2020,Core Enchantment Zone,,,,,,Unsuccessful,,,,
Overnight Permit,6/26/2020,Core Enchantment Zone,7/10/2020,Snow Zone,,8/14/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/21/2020,Core Enchantment Zone,9/11/2020,Stuart,Zone,9/4/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/17/2020,Core Enchantment Zone,7/30/2020,Core Enchantment Zone,,7/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/24/2020,Core Enchantment Zone,8/31/2020,Core Enchantment Zone,,8/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/7/2020,Core Enchantment Zone,9/8/2020,Core Enchantment Zone,,9/9/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/13/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,,8/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/3/2020,Core Enchantment Zone,8/21/2020,Core Enchantment Zone,,8/27/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/25/2020,Core Enchantment Zone,9/10/2020,Core Enchantment Zone,,9/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/3/2020,Core Enchantment Zone,8/4/2020,Core Enchantment Zone,,8/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/21/2020,Core Enchantment Zone,8/28/2020,Core Enchantment Zone,,9/11/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/21/2020,Core Enchantment Zone,8/14/2020,Core Enchantment Zone,,8/14/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/20/2020,Core Enchantment Zone,7/21/2020,Core Enchantment Zone,,7/22/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/3/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,,9/4/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/4/2020,Core Enchantment Zone,7/28/2020,Core Enchantment Zone,,8/12/2020,Core Enchantment Zone,Awarded,1,8/4/2020,Core Enchantment Zone,5
Overnight Permit,7/31/2020,Core Enchantment Zone,8/14/2020,Colchuck Zone,,,,Unsuccessful,,,,
Overnight Permit,7/20/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,,7/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/8/2020,Core Enchantment Zone,9/9/2020,Core Enchantment Zone,,9/14/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/8/2020,Core Enchantment Zone,7/7/2020,Core Enchantment Zone,,7/9/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/19/2020,Core Enchantment Zone,6/26/2020,Core Enchantment Zone,,7/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/13/2020,Core Enchantment Zone,9/13/2020,Snow Zone,,,,Awarded,1,9/13/2020,Core Enchantment Zone,4
Overnight Permit,8/24/2020,Core Enchantment Zone,8/23/2020,Core Enchantment Zone,,8/25/2020,Core Enchantment Zone,Awarded,2,8/23/2020,Core Enchantment Zone,2
Overnight Permit,7/13/2020,Core Enchantment Zone,7/14/2020,Core Enchantment Zone,,7/15/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/19/2020,Core Enchantment Zone,8/26/2020,Core Enchantment Zone,,8/19/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/18/2020,Core Enchantment Zone,8/8/2020,Core Enchantment Zone,,8/15/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/24/2020,Core Enchantment Zone,7/27/2020,Core Enchantment Zone,,8/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/20/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,,9/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/17/2020,Core Enchantment Zone,8/18/2020,Core Enchantment Zone,,8/19/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/14/2020,Core Enchantment Zone,8/15/2020,Core Enchantment Zone,,,,Unsuccessful,,,,
Overnight Permit,7/3/2020,Core Enchantment Zone,7/4/2020,Colchuck Zone,,7/5/2020,Stuart,Zone,Unsuccessful,,,
Overnight Permit,8/14/2020,Core Enchantment Zone,9/30/2020,Core Enchantment Zone,,10/9/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/28/2020,Core Enchantment Zone,8/13/2020,Core Enchantment Zone,,8/6/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/24/2020,Core Enchantment Zone,8/2/2020,Colchuck Zone,,6/28/2020,Colchuck Zone,Awarded,3,6/28/2020,Colchuck Zone,6
Overnight Permit,9/24/2020,Core Enchantment Zone,9/17/2020,Core Enchantment Zone,,10/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/27/2020,Core Enchantment Zone,7/28/2020,Core Enchantment Zone,,8/17/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/25/2020,Core Enchantment Zone,8/1/2020,Core Enchantment Zone,,7/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/19/2020,Core Enchantment Zone,8/7/2020,Eightmile/Caroline Zone,,8/21/2020,Colchuck Zone,Awarded,2,8/7/2020,Eightmile/Caroline Zone,4
Overnight Permit,7/13/2020,Core Enchantment Zone,7/13/2020,Colchuck Zone,,7/13/2020,Snow Zone,Unsuccessful,,,,
,,,,,,444,,,,,,
Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size,
Overnight Permit,7/16/2020,Core Enchantment Zone,7/17/2020,Core Enchantment Zone,,7/23/2020,Core Enchantment Zone,Cancelled,,,,,
Overnight Permit,8/4/2020,Core Enchantment Zone,7/14/2020,Colchuck Zone,,7/7/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/19/2020,Core Enchantment Zone,8/9/2020,Core Enchantment Zone,,9/13/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/29/2020,Core Enchantment Zone,6/6/2020,Core Enchantment Zone,,9/12/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,9/4/2020,Core Enchantment Zone,9/11/2020,Core Enchantment Zone,,9/18/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/7/2020,Core Enchantment Zone,8/14/2020,Stuart,Zone,8/21/2020,Snow Zone,Unsuccessful,,,,,
Overnight Permit,7/16/2020,Core Enchantment Zone,7/16/2020,Colchuck Zone,,7/17/2020,Snow Zone,Unsuccessful,,,,,
Overnight Permit,6/4/2020,Core Enchantment Zone,6/1/2020,Core Enchantment Zone,,9/8/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/10/2020,Core Enchantment Zone,8/10/2020,Colchuck Zone,,8/10/2020,Snow Zone,Unsuccessful,,,,,
Overnight Permit,8/17/2020,Core Enchantment Zone,8/9/2020,Core Enchantment Zone,,7/20/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/17/2020,Core Enchantment Zone,,,,,,Unsuccessful,,,,,
Overnight Permit,9/11/2020,Core Enchantment Zone,9/4/2020,Core Enchantment Zone,,9/7/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,9/18/2020,Core Enchantment Zone,10/5/2020,Core Enchantment Zone,,9/21/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,9/4/2020,Core Enchantment Zone,9/4/2020,Eightmile/Caroline Zone,,,,Unsuccessful,,,,,
Overnight Permit,7/11/2020,Core Enchantment Zone,7/18/2020,Core Enchantment Zone,,7/25/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/10/2020,Core Enchantment Zone,8/10/2020,Colchuck Zone,,8/10/2020,Snow Zone,Unsuccessful,,,,,
Overnight Permit,9/2/2020,Core Enchantment Zone,6/24/2020,Core Enchantment Zone,,8/26/2020,Snow Zone,Unsuccessful,,,,,
Overnight Permit,8/1/2020,Core Enchantment Zone,7/4/2020,Eightmile/Caroline Zone,,9/5/2020,Colchuck Zone,Awarded,2,7/4/2020,Eightmile/Caroline Zone,4,
Overnight Permit,9/15/2020,Core Enchantment Zone,10/21/2020,Core Enchantment Zone,,9/15/2020,Core Enchantment Zone,Awarded,2,10/21/2020,Core Enchantment Zone,8,
Overnight Permit,9/28/2020,Core Enchantment Zone,10/5/2020,Core Enchantment Zone,,9/28/2020,Snow Zone,Awarded,3,9/28/2020,Snow Zone,4,
Overnight Permit,9/8/2020,Core Enchantment Zone,9/8/2020,Snow Zone,,8/16/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/9/2020,Core Enchantment Zone,7/9/2020,Eightmile/Caroline Zone,,7/9/2020,Stuart,Zone,Awarded,2,7/9/2020,Eightmile/Caroline Zone,8
Overnight Permit,8/20/2020,Core Enchantment Zone,8/13/2020,Core Enchantment Zone,,9/9/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/1/2020,Core Enchantment Zone,8/15/2020,Core Enchantment Zone,,8/22/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/22/2020,Core Enchantment Zone,8/29/2020,Core Enchantment Zone,,8/15/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/4/2020,Core Enchantment Zone,8/11/2020,Core Enchantment Zone,,8/5/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/6/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,,8/14/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/13/2020,Core Enchantment Zone,8/6/2020,Core Enchantment Zone,,8/20/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,9/12/2020,Core Enchantment Zone,9/19/2020,Snow Zone,,9/12/2020,Colchuck Zone,Unsuccessful,,,,,
Overnight Permit,6/17/2020,Core Enchantment Zone,7/15/2020,Core Enchantment Zone,,7/15/2020,Stuart,Zone,Unsuccessful,,,,
Overnight Permit,5/29/2020,Core Enchantment Zone,7/11/2020,Eightmile/Caroline Zone,,9/3/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/23/2020,Core Enchantment Zone,7/23/2020,Colchuck Zone,,7/23/2020,Snow Zone,Unsuccessful,,,,,
Overnight Permit,8/11/2020,Core Enchantment Zone,7/28/2020,Core Enchantment Zone,,8/11/2020,Colchuck Zone,Unsuccessful,,,,,
Overnight Permit,9/26/2020,Core Enchantment Zone,9/25/2020,Core Enchantment Zone,,,,Unsuccessful,,,,,
Overnight Permit,8/12/2020,Core Enchantment Zone,7/22/2020,Core Enchantment Zone,,9/9/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,9/5/2020,Core Enchantment Zone,9/12/2020,Core Enchantment Zone,,9/26/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/18/2020,Core Enchantment Zone,8/29/2020,Core Enchantment Zone,,9/11/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/27/2020,Core Enchantment Zone,8/10/2020,Core Enchantment Zone,,8/31/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/9/2020,Core Enchantment Zone,7/16/2020,Core Enchantment Zone,,7/23/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/12/2020,Core Enchantment Zone,7/13/2020,Core Enchantment Zone,,7/13/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/25/2020,Core Enchantment Zone,7/26/2020,Core Enchantment Zone,,7/11/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/4/2020,Core Enchantment Zone,8/11/2020,Core Enchantment Zone,,8/4/2020,Stuart,Zone,Unsuccessful,,,,
Overnight Permit,8/6/2020,Core Enchantment Zone,8/20/2020,Colchuck Zone,,8/27/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,9/10/2020,Core Enchantment Zone,9/17/2020,Core Enchantment Zone,,9/10/2020,Colchuck Zone,Unsuccessful,,,,,
Overnight Permit,8/1/2020,Core Enchantment Zone,8/2/2020,Core Enchantment Zone,,8/3/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/8/2020,Core Enchantment Zone,8/15/2020,Core Enchantment Zone,,7/18/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,7/3/2020,Core Enchantment Zone,7/3/2020,Colchuck Zone,,8/8/2020,Colchuck Zone,Unsuccessful,,,,,
Overnight Permit,8/10/2020,Core Enchantment Zone,8/11/2020,Eightmile/Caroline Zone,,8/11/2020,Core Enchantment Zone,Awarded,2,8/11/2020,Eightmile/Caroline Zone,8,
Overnight Permit,7/11/2020,Core Enchantment Zone,7/12/2020,Core Enchantment Zone,,8/15/2020,Core Enchantment Zone,Unsuccessful,,,,,
Overnight Permit,8/17/2020,Core Enchantment Zone,8/24/2020,Core Enchantment Zone,,8/25/2020,Colchuck Zone,Unsuccessful,,,,,
Overnight Permit,8/30/2020,Core Enchantment Zone,6/18/2020,Colchuck Zone,,7/19/2020,Snow Zone,Unsuccessful,,,,,
,,,,,,445,,,,,,,
Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,8/1/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,,8/4/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/14/2020,Core Enchantment Zone,8/14/2020,Stuart,Zone,8/15/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/6/2020,Core Enchantment Zone,6/6/2020,Colchuck Zone,,6/6/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/12/2020,Core Enchantment Zone,8/13/2020,Core Enchantment Zone,,8/11/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/14/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,,7/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/2/2020,Core Enchantment Zone,9/2/2020,Snow Zone,,9/2/2020,Eightmile/Caroline Zone (stock),Awarded,3,9/2/2020,Eightmile/Caroline Zone (stock),4
Overnight Permit,9/9/2020,Core Enchantment Zone,9/9/2020,Snow Zone,,9/9/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/7/2020,Core Enchantment Zone,8/14/2020,Core Enchantment Zone,,8/21/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/8/2020,Core Enchantment Zone,7/8/2020,Eightmile/Caroline Zone,,7/8/2020,Colchuck Zone,Awarded,2,7/8/2020,Eightmile/Caroline Zone,6
Overnight Permit,8/24/2020,Core Enchantment Zone,9/9/2020,Core Enchantment Zone,,9/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/5/2020,Core Enchantment Zone,9/12/2020,Core Enchantment Zone,,9/19/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/30/2020,Core Enchantment Zone,7/31/2020,Colchuck Zone,,8/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/8/2020,Core Enchantment Zone,7/8/2020,Colchuck Zone,,7/8/2020,Stuart,Zone,Unsuccessful,,,
Overnight Permit,7/13/2020,Core Enchantment Zone,7/13/2020,Stuart,Zone,7/13/2020,Snow Zone,Cancelled,,,,
Overnight Permit,7/19/2020,Core Enchantment Zone,8/30/2020,Core Enchantment Zone,,9/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/2/2020,Core Enchantment Zone,7/26/2020,Core Enchantment Zone,,8/9/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/2/2020,Core Enchantment Zone,7/26/2020,Snow Zone,,7/26/2020,Colchuck Zone,Awarded,2,7/26/2020,Snow Zone,6
Overnight Permit,5/22/2020,Core Enchantment Zone,5/23/2020,Core Enchantment Zone,,5/24/2020,Core Enchantment Zone,Awarded,3,5/24/2020,Core Enchantment Zone,2
Overnight Permit,8/24/2020,Core Enchantment Zone,8/10/2020,Core Enchantment Zone,,8/20/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/10/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,,,,Unsuccessful,,,,
Overnight Permit,8/22/2020,Core Enchantment Zone,8/29/2020,Core Enchantment Zone,,9/12/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/15/2020,Core Enchantment Zone,7/15/2020,Snow Zone,,7/15/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/7/2020,Core Enchantment Zone,9/1/2020,Core Enchantment Zone,,9/14/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/22/2020,Core Enchantment Zone,6/20/2020,Core Enchantment Zone,,8/15/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/10/2020,Core Enchantment Zone,8/10/2020,Colchuck Zone,,8/10/2020,Stuart,Zone,Unsuccessful,,,
Overnight Permit,7/28/2020,Core Enchantment Zone,,,,,,Unsuccessful,,,,
Overnight Permit,8/14/2020,Core Enchantment Zone,6/24/2020,Core Enchantment Zone,,9/23/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/17/2020,Core Enchantment Zone,8/10/2020,Colchuck Zone,,8/15/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/3/2020,Core Enchantment Zone,,,,,,Unsuccessful,,,,
Overnight Permit,8/7/2020,Core Enchantment Zone,9/4/2020,Core Enchantment Zone,,8/21/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/15/2020,Core Enchantment Zone,7/25/2020,Core Enchantment Zone,,8/29/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/7/2020,Core Enchantment Zone,9/14/2020,Core Enchantment Zone,,,,Awarded,1,9/7/2020,Core Enchantment Zone,1
Overnight Permit,6/6/2020,Core Enchantment Zone,7/18/2020,Core Enchantment Zone,,8/22/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/13/2020,Core Enchantment Zone,7/13/2020,Stuart,Zone,7/13/2020,Snow Zone,Cancelled,,,,
